ID,BaseValue,LevelIncrease,LevelIncreaseNovice,Min,Max,Floor,Exception,ExceptionLow,ExceptionHigh,ExceptionValue,NormalLevel,Type,OriginID,OutputID,RequireTool,Tools
^v108,,,,,,,,,,,,,,,,
10,1.2,-0.03,-0.01,0.25,100,FALSE,FALSE,0,0,0,5,TOOLDURABILITY,0,0,TRUE,270 274 257 285 278
20,1.2,-0.03,-0.01,0.25,100,FALSE,FALSE,0,0,0,5,TOOLDURABILITY,0,0,TRUE,269 273 256 284 277
30,1.2,-0.03,-0.01,0.25,100,FALSE,FALSE,0,0,0,5,TOOLDURABILITY,0,0,TRUE,271 275 258 286 279
40,1,-0.03,0,0.25,100,FALSE,FALSE,0,0,0,5,PLOWDURABILITY,0,0,TRUE,290 291 292 293 294
41,0.7,0.1,0,0,5,FALSE,FALSE,0,0,0,5,BLOCKDROP,31,295,FALSE,
50,1.0,0.2,0,0,10,FALSE,FALSE,0,0,0,5,BLOCKDROP,103,360,FALSE,
60,0.5,0.1,0,0,100,FALSE,FALSE,0,0,0,5,FISH,0,349,FALSE,
61,1.2,-0.05,-0.01,0.025,100,FALSE,FALSE,0,0,0,5,RODDURABILITY,0,0,TRUE,346
70,1,0.2,0,0,6,TRUE,FALSE,0,0,0,5,CRAFT,272,272,FALSE,
71,1,0.2,0,0,6,TRUE,FALSE,0,0,0,5,CRAFT,273,273,FALSE,
72,1,0.2,0,0,6,TRUE,FALSE,0,0,0,5,CRAFT,274,274,FALSE,
73,1,0.2,0,0,6,TRUE,FALSE,0,0,0,5,CRAFT,275,275,FALSE,
74,1,0.2,0,0,6,TRUE,FALSE,0,0,0,5,CRAFT,291,291,FALSE,
80,0,0.1,0.05,0,3,FALSE,FALSE,0,0,0,5,SMELT,265,265,FALSE,
81,0,0.1,0.05,0,3,FALSE,FALSE,0,0,0,5,SMELT,266,266,FALSE,
80,0,0.1,0.05,0,3,FALSE,FALSE,0,0,0,5,SMELT,265,1,FALSE,
80,0,0.1,0.05,0,3,FALSE,FALSE,0,0,0,5,SMELT,266,1,FALSE,
90,1,0.2,0,0,6,TRUE,FALSE,0,0,0,5,CRAFT,267,267,FALSE,
91,1,0.2,0,0,6,TRUE,FALSE,0,0,0,5,CRAFT,256,256,FALSE,
92,1,0.2,0,0,6,TRUE,FALSE,0,0,0,5,CRAFT,257,257,FALSE,
93,1,0.2,0,0,6,TRUE,FALSE,0,0,0,5,CRAFT,258,258,FALSE,
94,1,0.2,0,0,6,TRUE,FALSE,0,0,0,5,CRAFT,292,292,FALSE,
100,1,0.2,0,0,6,TRUE,FALSE,0,0,0,5,CRAFT,276,276,FALSE,
101,1,0.2,0,0,6,TRUE,FALSE,0,0,0,5,CRAFT,277,277,FALSE,
102,1,0.2,0,0,6,TRUE,FALSE,0,0,0,5,CRAFT,278,278,FALSE,
103,1,0.2,0,0,6,TRUE,FALSE,0,0,0,5,CRAFT,279,279,FALSE,
104,1,0.2,0,0,6,TRUE,FALSE,0,0,0,5,CRAFT,293,293,FALSE,
110,0,0.01,0,0,0.3,FALSE,FALSE,0,0,0,0,DIGTIME,4,0,TRUE,270 274 257 285 278
111,0,0.01,0,0,0.3,FALSE,FALSE,0,0,0,0,DIGTIME,1,0,TRUE,270 274 257 285 278
120,0.8,0.04,-0.02,0,1,FALSE,FALSE,0,0,0,8,BLOCKDROP,4,4,FALSE,270 274 257 285 278
121,0.55,0.1,-0.05,0,100,FALSE,FALSE,0,0,0,7,BLOCKDROP,1,4,FALSE,270 274 257 285 278
130,0.7,0.06,0,0,3,FALSE,FALSE,0,0,0,5,BLOCKDROP,16,263,FALSE,270 274 257 285 278
131,0.7,0.06,0,0,1,FALSE,TRUE,6,30,0,5,BLOCKDROP,15,15,FALSE,274 257 278
132,0.7,0.06,0,0,3,FALSE,TRUE,0,5,0,0,BLOCKDROP,15,265,FALSE,274 257 278
140,0.7,0.06,0,0,1,FALSE,TRUE,5,30,0,4,BLOCKDROP,14,14,FALSE,257 278
141,0.7,0.08,0,0,4,FALSE,TRUE,0,4,0,0,BLOCKDROP,14,266,FALSE,257 278
142,1,0.08,-0.08,0,4,FALSE,FALSE,0,5,1,3,BLOCKDROP,56,264,FALSE,257 278
143,3,0.25,0,0,15,FALSE,FALSE,0,0,0,5,BLOCKDROP,73,331,FALSE,257 278
144,3,0.25,0,0,15,FALSE,FALSE,0,0,0,5,BLOCKDROP,21,351:04:00,FALSE,257 278
150,1,0.2,0,0,6,TRUE,FALSE,0,0,0,5,CRAFT,268,268,FALSE,
151,1,0.2,0,0,6,TRUE,FALSE,0,0,0,5,CRAFT,269,269,FALSE,
152,1,0.2,0,0,6,TRUE,FALSE,0,0,0,5,CRAFT,270,270,FALSE,
153,1,0.2,0,0,6,TRUE,FALSE,0,0,0,5,CRAFT,271,271,FALSE,
154,1,0.2,0,0,6,TRUE,FALSE,0,0,0,5,CRAFT,290,290,FALSE,
160,1,0.2,0,0,6,TRUE,FALSE,0,0,0,5,CRAFT,283,283,FALSE,
161,1,0.2,0,0,6,TRUE,FALSE,0,0,0,5,CRAFT,284,284,FALSE,
162,1,0.2,0,0,6,TRUE,FALSE,0,0,0,5,CRAFT,285,285,FALSE,
163,1,0.2,0,0,6,TRUE,FALSE,0,0,0,5,CRAFT,286,286,FALSE,
164,1,0.2,0,0,6,TRUE,FALSE,0,0,0,5,CRAFT,294,294,FALSE,
210,0,0.01,0,0,0.3,FALSE,FALSE,0,0,0,0,DIGTIME,12,0,TRUE,269 273 256 284 277
211,0.8,0.04,0,0,100,FALSE,FALSE,0,0,0,5,BLOCKDROP,12,12,FALSE,269 273 256 284 277
